Title,Job Title,Experience,Experience Categories,Company,Location,Skills
Banking Data Analyst Immediate,Data Analyst,0 Yrs,Freshers,Quantum Leap Consulting,Bengaluru,"Excel, Data Analyst, Banking And Finance, Content Analyst, Content, Data analysis, Content Analysis, Finance"
Data Analyst,Data Analyst,0 Yrs,Freshers,Bombay Play,Bengaluru,"C++, Analytical, Machine learning, Javascript, Data Analyst, Open source, Statistics, Analytics"
Data Analyst Data Executive,Data Analyst,0 Yrs,Freshers,Anutech Solutions,Vijayawada,"Data Analyst, Data Executive, Data analysis, Data"
Data Analyst,Data Analyst,0 Yrs,Freshers,Digital Glyde,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Data analysis, Excel, Statistical analysis, Analytical, power bi, data integrity, Data Analyst, data visualization"
Data Analyst,Data Analyst,0 Yrs,Freshers,Western Digital,Bengaluru,"Supply chain, Data analysis, ERP, Data management, Data modeling, Data quality, Data mining, Business intelligence"
Apprentice Analyst-Data Analytics,Other,0 Yrs,Freshers,eClerx,"Thane, Navi Mumbai, Mumbai (All Areas)","BE Mechanical, BE Electrical, Data Management, EXTC, Excel, Product data management, Data Analyst, Data Analytics"
Data Verification Analyst,Other,0 Yrs,Freshers,Foundation Ai,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst Trainee,Data Analyst,0 Yrs,Freshers,Aithent,Chennai,"Excel, Power Bi, Tableau, SQL, Python, Data analysis, Data, Bi"
Data Analyst,Data Analyst,0 Yrs,Freshers,Crisil,"Hyderabad, Pune","companies act, office, accounting, microsoft, corporate finance, sql, java, listing agreement"
Senior Data Governance Analyst,Data Governance Analyst,0 Yrs,Freshers,Tide Software,Hyderabad,"Health insurance, Administration, Data management, German, Data quality, Risk management, Analytics, Financial services"
Data Analyst - Intern,Data Analyst,0 Yrs,Freshers,Claight Corporation Expert Market Research,Noida,"Data analysis, Intern, Data Analyst, Analytics, Analysis, Data"
Data Scientist,Data Scientist,0 Yrs,Freshers,Global Talent Pool,Bengaluru,"python, scikit-learn, numpy, machine learning, data science, data analysis, data analytics, natural language processing"
Associate Data Analyst,Data Analyst,0 Yrs,Freshers,Global Survey,Noida,"Associate Data Analyst, Data"
Data Analyst,Data Analyst,0 Yrs,Freshers,Legistify,Gurugram,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Data Analyst,0 Yrs,Freshers,Barclays,Chennai,"Senior Analyst, Bfsi, Analytical, Reconciliation, Data quality, Investment banking, Continuous improvement, Operations"
Data Analyst,Data Analyst,0 Yrs,Freshers,Legistify,Gurugram,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Governance Analyst,Data Governance Analyst,0 Yrs,Freshers,Barclays,Pune,"data cleansing, Analytical, Data quality, Business strategy, Assistant Vice President, Risk management, Stakeholder management, Operations"
Data Engineer Analyst,Data Engineer,0 Yrs,Freshers,We Shine Academy,Chennai,"hive, python, data analysis, data analytics, oracle, scala, data mining, data warehousing"
Data Analyst,Data Analyst,0 Yrs,Freshers,An Indian MNC Company,Ranchi,"Data Analysis, Data Visualization, Energy Audit, SQL Queries, Advanced Excel, Data Analytics, SQL, Analytics"
Data Research Analyst,Other,0 Yrs,Freshers,Juego Studio,Bengaluru,"Online research, QA, Focus, Data collection, Data Research Analyst, Commerce, CRM management, Research"
Data Analyst,Data Analyst,0 Yrs,Freshers,Talent Carriage,New Delhi,"Records management, Transition, Data analytics, Data Analyst, HR, Management, CSAT, SLAS"
Client Data Analyst,Data Analyst,0 Yrs,Freshers,JPMorgan Chase Bank,Bengaluru,"Analytical skills, Training, Due diligence, Focus, Data Analyst, Investment banking, Management, banking products"
