Title,Company,Experience,Location,Salary,Skills
Fresher/ Banking/ Data Analyst/ Excel/Bangalore/ Immediate,Quantum Leap Consulting,0 Yrs,Bengaluru,Not Mentioned,"Excel, Data Analyst, Banking And Finance, Content Analyst, Content, Data analysis, Content Analysis, Finance"
Data Analyst/Fresher,Quantum Leap Consulting,0 Yrs,Bengaluru,Not Mentioned,"Excel, BCom, Advanced Excel, Fresher, MBA, Data, Data analysis"
Data Analyst 38 Lakhs CTC || Srinivasa Reddy Kandi,Integra Technologies,10-15 Yrs,"Hyderabad, Chennai, Bengaluru",Not Mentioned,"Power Bi, SQL, Data Analysis, Data Analytics, Word, Countif, MS Visio, Alteryx"
Data Analyst,IndustryBuying,3-5 Yrs,New Delhi(Ghitorni),Not Mentioned,"Python Data Analytics, Machine Learning, SQL, Statistical Modeling, Data Modeling, Postgresql, Bigquery, Tableau"
Data Analyst,Capgemini,2-5 Yrs,Noida,Not Mentioned,"algorithms, charts, data analysis, data validation, dashboards, hlookup, macros, python"
"Data Analyst, Reimbursement, IN Seller Reimbursements",Amazon,0-7 Yrs,Bengaluru,Not Mentioned,"Automation, SAS, Business analysis, Analytical, Account management, SPSS, Data mining, Monitoring"
"Data Analyst For Jodhpur, Rajasthan",Krishna's Herbal & Ayurveda,1-3 Yrs,Jodhpur(Shastri Nagar),Not Mentioned,"Data Analysis, Data Analytics, Data Manipulation, Data Visualization, Data Cleansing, Data Extraction, Data Reporting, Reporting"
Data Analyst - Tableau,KPI Partners,0-7 Yrs,Pune,Not Mentioned,"Computer science, data cleansing, Data analysis, Data validation, Analytical, data governance, Data quality, Business intelligence"
Data Analyst (Contractual),Aditya Birla Management Corporation (ABMCPL),3-5 Yrs,Mumbai (All Areas),Not Mentioned,"Power Bi, M Scripting, Data Analysis, Data Visualization, Dax, Dashboards, Data Modeling, Data Analytics"
Data Analyst,Satin Creditcare Network,0-5 Yrs,Gurugram,Not Mentioned,"Excel, Kannada, Pivot Table, SUMIF, Filters, Countif, VLOOKUP, Formulas"
Data Analyst - Tariff Ops,Arcadia,0-3 Yrs,Chennai,Not Mentioned,"SQL queries, Data analysis, Excel, Analog, Billing, Data Analyst, Medical insurance, Troubleshooting"
Data Analyst - Tariff Ops,Arcadia,0-3 Yrs,Chennai,Not Mentioned,"SQL queries, Data analysis, Excel, Analog, Billing, Data Analyst, Medical insurance, Troubleshooting"
Data Analyst,Aye Finance,0-5 Yrs,Gurugram,Not Mentioned,"Data Entry, MIS, Data Analysis, Data, Analysis"
